# Train on 1K_60 from random:
counter=30000	 PSNR=28.770712	 SSIM=0.993468
counter=30500	 PSNR=28.846881	 SSIM=0.993488
counter=31000	 PSNR=28.500650	 SSIM=0.993122
counter=31500	 PSNR=28.631190	 SSIM=0.993225
counter=32000	 PSNR=28.722347	 SSIM=0.993389
counter=32500	 PSNR=28.781083	 SSIM=0.993412
counter=33000	 PSNR=28.777786	 SSIM=0.993403
counter=33500	 PSNR=28.612972	 SSIM=0.993298
counter=34000	 PSNR=28.578439	 SSIM=0.993279
counter=34500	 PSNR=28.733124	 SSIM=0.993372
counter=35000	 PSNR=28.670166	 SSIM=0.993369
counter=35500	 PSNR=28.884720	 SSIM=0.993494
counter=36000	 PSNR=28.806455	 SSIM=0.993441
counter=36500	 PSNR=28.766021	 SSIM=0.993308
counter=37000	 PSNR=28.688798	 SSIM=0.993360
counter=37500	 PSNR=28.558921	 SSIM=0.993162
counter=38000	 PSNR=28.556741	 SSIM=0.993145
counter=38500	 PSNR=28.712358	 SSIM=0.993256
counter=39000	 PSNR=28.644293	 SSIM=0.993290
counter=39500	 PSNR=28.795604	 SSIM=0.993499
counter=40000	 PSNR=28.594887	 SSIM=0.993206
counter=40500	 PSNR=28.679492	 SSIM=0.993441
counter=41000	 PSNR=28.461662	 SSIM=0.993134
counter=41500	 PSNR=28.678614	 SSIM=0.993376
counter=42000	 PSNR=28.856559	 SSIM=0.993580
counter=42500	 PSNR=28.901889	 SSIM=0.993416
counter=43000	 PSNR=28.597133	 SSIM=0.993155
counter=43500	 PSNR=28.759359	 SSIM=0.993290
counter=44000	 PSNR=28.712784	 SSIM=0.993306
counter=44500	 PSNR=28.661827	 SSIM=0.993247
counter=45000	 PSNR=28.694997	 SSIM=0.993297
counter=45500	 PSNR=28.542782	 SSIM=0.993105
counter=46000	 PSNR=28.522084	 SSIM=0.993099
counter=46500	 PSNR=28.740097	 SSIM=0.993386
counter=47000	 PSNR=28.672203	 SSIM=0.993230
counter=47500	 PSNR=28.665518	 SSIM=0.993213
counter=48000	 PSNR=28.676085	 SSIM=0.993255
counter=48500	 PSNR=28.233976	 SSIM=0.992747
counter=49000	 PSNR=28.620396	 SSIM=0.993205
counter=49500	 PSNR=28.738523	 SSIM=0.993290
counter=50000	 PSNR=28.619047	 SSIM=0.993199
counter=50500	 PSNR=28.584505	 SSIM=0.993195
counter=51000	 PSNR=28.624939	 SSIM=0.993178
counter=51500	 PSNR=28.840502	 SSIM=0.993462
counter=52000	 PSNR=28.723636	 SSIM=0.993357
counter=52500	 PSNR=28.557239	 SSIM=0.993091
counter=53000	 PSNR=28.616731	 SSIM=0.993243
counter=53500	 PSNR=28.722061	 SSIM=0.993423
counter=54000	 PSNR=28.794408	 SSIM=0.993428
counter=54500	 PSNR=28.565201	 SSIM=0.993178
counter=55000	 PSNR=28.860571	 SSIM=0.993550
counter=55500	 PSNR=28.499534	 SSIM=0.993178
counter=56000	 PSNR=28.594416	 SSIM=0.993265
counter=56500	 PSNR=28.641081	 SSIM=0.993236
counter=57000	 PSNR=28.704499	 SSIM=0.993387
counter=57500	 PSNR=28.625049	 SSIM=0.993241
counter=58000	 PSNR=28.329946	 SSIM=0.993042
counter=58500	 PSNR=28.405766	 SSIM=0.992990
counter=59000	 PSNR=28.711264	 SSIM=0.993390
counter=59500	 PSNR=28.529743	 SSIM=0.993163
counter=60000	 PSNR=28.934739	 SSIM=0.993643
counter=60500	 PSNR=28.653870	 SSIM=0.993275
counter=61000	 PSNR=28.509738	 SSIM=0.993085
counter=61500	 PSNR=28.602999	 SSIM=0.993137
counter=62000	 PSNR=28.720207	 SSIM=0.993282
counter=62500	 PSNR=28.822036	 SSIM=0.993517
counter=63000	 PSNR=28.561432	 SSIM=0.993136
counter=63500	 PSNR=28.669833	 SSIM=0.993269
counter=64000	 PSNR=28.824554	 SSIM=0.993463
counter=64500	 PSNR=28.696441	 SSIM=0.993265
counter=65000	 PSNR=28.607137	 SSIM=0.993230
counter=65500	 PSNR=28.807667	 SSIM=0.993511
counter=66000	 PSNR=28.872411	 SSIM=0.993517
counter=66500	 PSNR=28.933982	 SSIM=0.993598
counter=67000	 PSNR=28.629066	 SSIM=0.993204
counter=67500	 PSNR=28.569592	 SSIM=0.993209
counter=68000	 PSNR=28.595722	 SSIM=0.993249
counter=68500	 PSNR=28.695245	 SSIM=0.993374
counter=69000	 PSNR=28.813757	 SSIM=0.993361
counter=69500	 PSNR=28.732477	 SSIM=0.993341
counter=70000	 PSNR=28.453108	 SSIM=0.993099
counter=70500	 PSNR=28.812346	 SSIM=0.993444
counter=71000	 PSNR=28.943231	 SSIM=0.993550
counter=71500	 PSNR=28.676165	 SSIM=0.993212
counter=72000	 PSNR=28.628654	 SSIM=0.993165
counter=72500	 PSNR=28.551208	 SSIM=0.993215
counter=73000	 PSNR=28.824440	 SSIM=0.993438
counter=73500	 PSNR=28.618781	 SSIM=0.993188
counter=74000	 PSNR=28.494142	 SSIM=0.993069
counter=74500	 PSNR=28.642885	 SSIM=0.993291
counter=75000	 PSNR=28.693341	 SSIM=0.993200
counter=75500	 PSNR=28.841280	 SSIM=0.993331
counter=76000	 PSNR=28.699301	 SSIM=0.993218
counter=76500	 PSNR=28.578936	 SSIM=0.993163
counter=77000	 PSNR=28.734675	 SSIM=0.993384
counter=77500	 PSNR=28.631420	 SSIM=0.993176
counter=78000	 PSNR=28.383723	 SSIM=0.992933
counter=78500	 PSNR=28.668632	 SSIM=0.993226
counter=79000	 PSNR=28.543259	 SSIM=0.993091
counter=79500	 PSNR=28.639627	 SSIM=0.993213
counter=80000	 PSNR=28.479604	 SSIM=0.993017
counter=80500	 PSNR=28.760300	 SSIM=0.993351
counter=81000	 PSNR=28.443006	 SSIM=0.993082
counter=81500	 PSNR=28.472807	 SSIM=0.993039
counter=82000	 PSNR=28.464927	 SSIM=0.992910
counter=82500	 PSNR=28.759369	 SSIM=0.993303
counter=83000	 PSNR=28.583824	 SSIM=0.993120
counter=83500	 PSNR=28.686421	 SSIM=0.993310
counter=84000	 PSNR=28.640108	 SSIM=0.993233
counter=84500	 PSNR=28.434897	 SSIM=0.992940
counter=85000	 PSNR=28.559177	 SSIM=0.993076
counter=85500	 PSNR=28.495861	 SSIM=0.992953
counter=86000	 PSNR=28.569696	 SSIM=0.993137
counter=86500	 PSNR=28.473537	 SSIM=0.993047
counter=87000	 PSNR=28.386519	 SSIM=0.992956
counter=87500	 PSNR=28.646024	 SSIM=0.993186
counter=88000	 PSNR=28.562154	 SSIM=0.993052
counter=88500	 PSNR=28.670411	 SSIM=0.993199
counter=89000	 PSNR=28.560032	 SSIM=0.992991
counter=89500	 PSNR=28.619968	 SSIM=0.993109
counter=90000	 PSNR=28.514330	 SSIM=0.993023
counter=90500	 PSNR=28.477741	 SSIM=0.993037
counter=91000	 PSNR=28.547337	 SSIM=0.993040
counter=91500	 PSNR=28.534702	 SSIM=0.993024
counter=92000	 PSNR=28.630157	 SSIM=0.992875
counter=92500	 PSNR=28.683029	 SSIM=0.993153
counter=93000	 PSNR=28.356988	 SSIM=0.992832
counter=93500	 PSNR=28.666766	 SSIM=0.993128
counter=94000	 PSNR=28.479957	 SSIM=0.992926
counter=94500	 PSNR=28.419502	 SSIM=0.992903
counter=95000	 PSNR=28.538745	 SSIM=0.993064
counter=95500	 PSNR=28.467516	 SSIM=0.993007
counter=96000	 PSNR=28.564210	 SSIM=0.993131
counter=96500	 PSNR=28.417717	 SSIM=0.992751
counter=97000	 PSNR=28.702009	 SSIM=0.993275
counter=97500	 PSNR=28.502539	 SSIM=0.993028
counter=98000	 PSNR=28.550190	 SSIM=0.993133
counter=98500	 PSNR=28.552052	 SSIM=0.992951
counter=99000	 PSNR=28.483865	 SSIM=0.992874
counter=99500	 PSNR=28.569618	 SSIM=0.993112
counter=100000	 PSNR=28.494061	 SSIM=0.992873

# Train on 1W_4 from 60000 previous:(->BGR)
num=1		[PSNR SSIM] = [ 29.20117037   0.99333327  29.00649412]
@num=501	[PSNR SSIM] = [ 30.17184897   0.99461669  30.00942456]
@num=1001	[PSNR SSIM] = [ 30.1504014    0.99458557  29.9871542 ]
@num=1501	[PSNR SSIM] = [ 30.20363341   0.99465617  30.04223023]
@num=2001	[PSNR SSIM] = [ 30.18166501   0.99460809  30.01892813]
@num=2501	[PSNR SSIM] = [ 30.34552822   0.9948231   30.18843233]
num=3001	[PSNR SSIM] = [ 30.17516195   0.99460348  30.01232102]
num=3501	[PSNR SSIM] = [ 30.11099057   0.99450916  29.94565604]
@num=4001	[PSNR SSIM] = [ 30.46770895   0.99492189  30.31299062]
@num=4501	[PSNR SSIM] = [ 30.44164199   0.99486786  30.28541129]
@num=5001	[PSNR SSIM] = [ 30.40606248   0.99485378  30.24958616]
@num=5501	[PSNR SSIM] = [ 30.61552245   0.99506606  30.46446723]
num=6001	[PSNR SSIM] = [ 29.87271339   0.99443233  29.70639205]
num=6501	[PSNR SSIM] = [ 30.22665847   0.99467902  30.06582308]
@num=7001	[PSNR SSIM] = [ 30.40541444   0.99487662  30.24963591]
num=7501	[PSNR SSIM] = [ 30.32548461   0.99474607  30.16615671]
@num=8001	[PSNR SSIM] = [ 30.46692679   0.99495743  30.31329509]
@num=8501	[PSNR SSIM] = [ 30.61355567   0.99509182  30.46329885]
@num=9001	[PSNR SSIM] = [ 30.44951446   0.99490786  30.29446118]
num=9501	[PSNR SSIM] = [ 30.25729855   0.99466802  30.0959672 ]
num=10001	[PSNR SSIM] = [ 30.30339345   0.99473445  30.1438295 ]
num=10501	[PSNR SSIM] = [ 30.26339716   0.99472584  30.10378303]
@num=11001	[PSNR SSIM] = [ 30.53435108   0.99498512  30.38122494]
@num=11501	[PSNR SSIM] = [ 30.60988595   0.99503976  30.45805372]
@num=12001	[PSNR SSIM] = [ 30.66453663   0.99510915  30.51456104]
@num=12501	[PSNR SSIM] = [ 30.65726056   0.99511296  30.50743732]
@num=13001	[PSNR SSIM] = [ 30.68552209   0.99514557  30.53656124]
num=13501	[PSNR SSIM] = [ 30.3277049    0.9947615   30.16883333]
num=14001	[PSNR SSIM] = [ 30.36556624   0.99478368  30.20716983]
num=14501	[PSNR SSIM] = [ 30.39633558   0.99484142  30.23953357]
num=15001	[PSNR SSIM] = [ 30.07878522   0.99451294  29.91374124]
num=15501	[PSNR SSIM] = [ 30.57711525   0.99501036  30.42454638]
num=16001	[PSNR SSIM] = [ 30.42771798   0.99486479  30.27146515]
num=16501	[PSNR SSIM] = [ 30.40846795   0.99481319  30.25074508]
num=17001	[PSNR SSIM] = [ 30.58803884   0.99501728  30.43562711]
num=17501	[PSNR SSIM] = [ 30.32865075   0.99474807  30.16936693]
num=18001	[PSNR SSIM] = [ 30.52585456   0.99496484  30.37215185]
@num=18501	[PSNR SSIM] = [ 30.7560592    0.99520798  30.60867544]
